word,upos
swojej,DET
prawniskej,ADJ
prawniski,ADJ
formje,NOUN
forma,NOUN
zapisane,ADJ
zapisany,ADJ
towarstwo,NOUN
jeho,DET
tradicije,NOUN
tradicija,NOUN
zwonkauniwersitne,ADJ
zwonkauniwersitny,ADJ
slědźenišćo,NOUN
złožuja,VERB
złožować,VERB
ludospyt,NOUN
bě,AUX
lěta,NOUN
lěto,NOUN
załožił,VERB
załožić,VERB
do,ADP
němskej,PROPN
němski,ADJ
akademiji,NOUN
akademija,NOUN
wědomosćow,NOUN
ndr,PROPN
přisłušał,VERB
přisłušeć,VERB
kooperuje,VERB
kooperować,VERB
druhimi,ADJ
druhi,ADJ
wědomostnymi,ADJ
zarjadnišćemi,NOUN
zarjadnišće,NOUN
tu,DET
wukraju,NOUN
wukraj,NOUN
fachowcy,NOUN
fachowc,NOUN
spjelnjeja,VERB
spjelnować,VERB
wučbne,ADJ
wučbny,ADJ
nadawki,NOUN
nadawk,NOUN
uniwersitach,NOUN
uniwersita,NOUN
wysokich,ADJ
wysoki,ADJ
šulach,NOUN
šula,NOUN
kóžde,DET
kóždy,DET
druhe,ADJ
wuhotuje,VERB
wuhotowić,VERB
mjezynarodny,ADJ
prózdninski,ADJ
kurs,NOUN
serbsku,ADJ
normalneje,ADJ
normalny,ADJ
woda,NOUN
eksistuje,VERB
eksistować,VERB
tak,ADV
mjenowana,ADJ
mjenowany,ADJ
połćežka,ADJ
połćežki,ADJ
ćežka,ADJ
ćežki,ADJ
deuteriumowy,ADJ
oksid,NOUN
přećežka,ADJ
přećežki,ADJ
tritiumowy,ADJ
při,ADP
ćežkej,ADJ
přećežkej,ADJ
wodźe,NOUN
wodźikowy,ADJ
atom,NOUN
protium,NOUN
symbol,NOUN
h,X
jeju,DET
izotopaj,NOUN
izotop,NOUN
deuterium,NOUN
tritium,NOUN
naruna,VERB
narunać,VERB
połćežkej,ADJ
jedyn,NUM
cycaki,NOUN
cycak,NOUN
buchu,AUX
tři,NUM
podklasow,NOUN
podklasa,NOUN
něhdźe,ADV
hač,ADV
porjadow,NOUN
porjad,NOUN
rozdźělene,ADJ
rozdźělić,ADJ
kotrež,DET
strony,NOUN
strona,NOUN
měchawcach,NOUN
měchawc,NOUN
wyšich,ADJ
cycakach,NOUN
hišće,ADV
raz,NOUN
dwě,NUM
dwaj,NUM
resp,ADV
štyri,NUM
nadporjadowanym,ADJ
nadporjadowany,ADJ
skupinam,NOUN
skupina,NOUN
přidźělować,VERB
móžeja,VERB
bóle,ADV
detailowa,ADJ
detailowy,ADJ
wšěch,DET
swójbami,NOUN
swójba,NOUN
namaka,VERB
namakać,VERB
cycakow,NOUN
frankfurt,PROPN
nad,ADP
mohanom,PROPN
mohan,PROPN
mainom,PROPN
main,PROPN
němsce,ADV
am,PROPN
najwjetše,ADJ
wulki,ADJ
město,NOUN
zwjazkoweho,ADJ
zwjazkowy,ADJ
kraja,NOUN
hessenska,PROPN
pjaty,ADJ
němskeje,PROPN
němska,PROPN
bronzoweje,ADJ
bronzowy,ADJ
doby,NOUN
doba,NOUN
znate,ADJ
znaty,ADJ
kulturne,ADJ
formy,NOUN
wjetšimi,ADJ
symjenjemi,NOUN
symjenjo,NOUN
dnjej,NOUN
dźeń,NOUN
archiwow,NOUN
archiw,NOUN
přeprošuje,VERB
přeprošować,VERB
dwórnišćowu,ADJ
dwórnišćowy,ADJ
sobotu,NOUN
sobota,NOUN
dnja,ADJ
měrca,NOUN
měrc,NOUN
hodź,NOUN
hodźina,NOUN
knižna,ADJ
knižny,ADJ
premjera,NOUN
zwjazka,NOUN
zwjazk,NOUN
spisow,NOUN
spis,NOUN
serbskeho,ADJ
stätten,PROPN
und,X
stationen,PROPN
religiösen,PROPN
wirkens,PROPN
smolerjec,PROPN
kniharni,NOUN
kniharnja,NOUN
etiopiskej,PROPN
etiopiska,PROPN
rěči,NOUN
rěčeć,VERB
někotre,DET
někotry,DET
nich,PRON
naš,DET
zaměr,NOUN
słowoskład,NOUN
šěroko,ADV
móžno,ADV
registrować,VERB
zo,SCONJ
budu,AUX
nim,PRON
słowa,NOUN
słowo,NOUN
kiž,PRON
njejsu,VERB
nihdźe,ADV
registrowane,ADJ
registrowany,ADJ
planowane,ADJ
planowany,ADJ
pytansku,ADJ
pytanski,ADJ
funkciju,NOUN
funkcija,NOUN
integrować,VERB
wužiwarjej,NOUN
wužiwar,NOUN
dowoli,VERB
dowollić,VERB
wopak,ADV
pisane,ADJ
pisany,ADJ
tutej,DET
dobje,NOUN
rozłama,VERB
rozłamać,VERB
jednota,NOUN
duchowneje,ADJ
duchowny,ADJ
swětneje,ADJ
swětny,ADJ
mocy,NOUN
moc,NOUN
palasty,NOUN
palast,NOUN
kralow,NOUN
kral,NOUN
natwarjene,ADJ
natwarjeny,ADJ
nic,PART
jenož,PART
reprezentaciji,NOUN
reprezentacija,NOUN
słužachu,VERB
słužić,VERB
kralojo,NOUN
tuteje,DET
mjenowachu,VERB
mjenować,VERB
lugal,NOUN
čłowjek,NOUN
mócnarski,ADJ
narok,NOUN
pokazachu,VERB
pokazać,VERB
knježićeljo,NOUN
knježićel,NOUN
swoje,DET
rowy,NOUN
row,NOUN
dajo,VERB
družbinu,NOUN
družbina,NOUN
pohrjebać,VERB
wjacore,ADJ
wjacory,ADJ
tutych,DET
kralowskich,ADJ
kralowski,ADJ
rowow,NOUN
namakachu,VERB
blisko,ADP
města,NOUN
ur,PROPN
jeli,SCONJ
chceće,VERB
chcyć,VERB
aktualnych,ADJ
projektach,NOUN
projekt,NOUN
klemena,PROPN
klemen,PROPN
wobdźělić,VERB
wustupej,NOUN
wustup,NOUN
swojeho,DET
přeprosyć,VERB
wobroćće,VERB
wobroćić,VERB
sćěhowacu,ADJ
sćěhowacy,ADJ
adresu,NOUN
adresa,NOUN
wotrězk,NOUN
ma,VERB
wobsahowe,ADJ
wobsahowy,ADJ
mjezoty,NOUN
mjezota,NOUN
faluje,VERB
wjele,ADV
družinow,NOUN
družina,NOUN
hlej,VERB
hladać,VERB
nastawka,NOUN
tlustulimu,PROPN
awg,X
cest,NOUN
werba,NOUN
werb,NOUN
danci,X
rejować,VERB
móže,VERB
substantiw,NOUN
nastać,VERB
danco,X
reja,NOUN
adjektiw,NOUN
danca,X
rejowanski,ADJ
adwerb,NOUN
dance,X
rejowansce,ADV
substantiwa,NOUN
martelo,X
hamor,NOUN
marteli,X
klepać,VERB
hamorom,NOUN
martela,X
hamorowy,ADJ
martele,X
rjemjesło,NOUN
wikowanje,NOUN
nabywaštej,VERB
nabywać,VERB
dale,ADV
daloko,ADV
wuznam,NOUN
zamóžite,ADJ
zamóžity,ADJ
sydlišćow,NOUN
sydlišće,NOUN
politisce,ADV
samostatne,ADJ
samostatny,ADJ
spadźe,NOUN
spad,NOUN
assyriskeje,PROPN
assyriska,PROPN
babylon,PROPN
zaso,ADV
naby,VERB
nabyć,VERB
nabopolassar,PROPN
dobywa,VERB
dobywać,VERB
naposledk,ADV
assyriskej,PROPN
lět,NOUN
smjerći,NOUN
smjerć,NOUN
assurbanipala,PROPN
assurbanipal,PROPN
dobychu,VERB
dobyć,VERB
zjednoćeni,ADJ
medojo,PROPN
med,PROPN
babylonjenjo,PROPN
babylonjen,PROPN
wójska,NOUN
wójsko,NOUN
př,ADP
před,ADP
n,DET
l,NOUN
lětoličba,NOUN
potom,ADV
bu,AUX
znowa,ADV
kulturelny,ADJ
centrum,NOUN
mezopotamiskeje,PROPN
assur,PROPN
niniwa,PROPN
buštej,AUX
dospołnje,ADV
zničenej,ADJ
zničeny,ADJ
assyričenjo,PROPN
assyričen,PROPN
skónčnje,ADV
pomjatka,NOUN
pomjatk,NOUN
naslědnych,ADJ
naslědny,ADJ
generacijow,NOUN
generacija,NOUN
zhubjachu,VERB
zhubić,VERB
doniž,SCONJ
tute,DET
politisko,ADJ
socialnych,ADJ
socialny,ADJ
přičinow,NOUN
přičina,NOUN
znutřka,ADP
assyriskeho,ADJ
assyriski,ADJ
luda,NOUN
lud,NOUN
wuchodźe,NOUN
wuchod,NOUN
lětstotku,NOUN
lětstotk,NOUN
njewožiwi,VERB
wožiwić,VERB
znamjenja,NOUN
znamjenje,NOUN
druhich,ADJ
zastupjerjow,NOUN
zastupjer,NOUN
nadrjadowanych,ADJ
nadrjadowany,ADJ
taksonow,NOUN
takson,NOUN
charofyta,NOUN
chloroplastida,NOUN
chloroplasty,NOUN
chloroplast,NOUN
chlorophyll,NOUN
b,X
fotosynteizskej,ADJ
fotosynteizski,ADJ
pigmentaj,NOUN
pigment,NOUN
karotinoidy,NOUN
karotinoid,NOUN
akcesoriske,ADJ
akcesoriski,ADJ
pigmenty,NOUN
škrob,NOUN
rezerwny,ADJ
polysaccharid,NOUN
bańkowe,ADJ
sćěny,NOUN
sćěna,NOUN
celulozy,NOUN
celuloza,NOUN
wutrusowa,ADJ
wutrusowy,ADJ
wobsahuje,VERB
wobsahować,VERB
sporopolenin,NOUN
sporofyty,NOUN
sporofyt,NOUN
tworja,VERB
kutikulu,NOUN
kutikula,NOUN
chemiska,ADJ
chemiski,ADJ
wjazba,NOUN
kotraž,DET
njeparujomna,ADJ
parujomny,ADJ
žiwochow,NOUN
žiwoch,NOUN
zemi,NOUN
zemja,NOUN
wona,PRON
normalnymi,ADJ
wuměnjenjemi,NOUN
wuměnjenje,NOUN
kapalny,ADJ
temperaturach,NOUN
temperatura,NOUN
c,X
škrějnym,ADJ
škrějny,ADJ
dypkom,NOUN
dypk,NOUN
bywa,VERB
bywać,VERB
kruta,ADJ
kruty,ADJ
maćizna,NOUN
lód,NOUN
warjenskim,ADJ
warjenski,ADJ
para,NOUN
tuta,DET
wuznamjeni,ADJ
wuznamjenić,VERB
krute,ADJ
zarjadnistwo,NOUN
wudawanje,NOUN
prawniskich,ADJ
wukazow,NOUN
wukaz,NOUN
kodeks,NOUN
nammu,PROPN
poslednja,ADJ
posledni,ADJ
sumeričanow,PROPN
sumeričan,PROPN
charakerizowana,ADJ
charakerizowany,ADJ
rozpad,NOUN
zańdźenje,NOUN
městow,NOUN
wuznamjeny,ADJ
měł,VERB
nomadny,ADJ
swoju,DET
šansu,NOUN
šansa,NOUN
postupej,NOUN
postup,NOUN
dóstać,VERB
lisćina,NOUN
ura,PROPN
nacionalsocializm,NOUN
prěnjotnje,ADV
nationalsozialismus,NOUN
krótko,ADJ
nacizm,NOUN
njedemokratiska,ADJ
demokratiski,ADJ
antikomunistiska,ADJ
antikomunistiski,ADJ
antisemitiska,ADJ
antisemitiski,ADJ
antisłowjanska,ADJ
antisłowjanski,ADJ
ideologija,NOUN
swětonahlad,NOUN
kotry,DET
załoženy,ADJ
adolfa,PROPN
adolf,PROPN
hitlera,PROPN
hitler,PROPN
weimarskeje,ADJ
weimarski,ADJ
republiki,NOUN
republika,NOUN
waženy,ADJ
hłownu,ADJ
hłowny,ADJ
přičinu,NOUN
druheje,ADJ
swětoweje,ADJ
swětowy,ADJ
wójny,NOUN
wójna,NOUN
złóstnistwow,NOUN
złóstnistwo,NOUN
třećeho,ADJ
třeći,ADJ
reicha,NOUN
reich,NOUN
přikład,NOUN
holocausta,NOUN
holocaust,NOUN
jednora,ADJ
jednory,ADJ
wažna,ADJ
wažny,ADJ
jónkróćna,ADJ
jónkróćny,ADJ
kajkosć,NOUN
wody,NOUN
jeje,DET
płuwa,VERB
płuwać,VERB
kapalnej,ADJ
faza,NOUN
mjenje,ADV
mało,ADV
husta,ADJ
husty,ADJ
kapalna,ADJ
dla,ADP
geometrije,NOUN
geometrija,NOUN
sylnych,ADJ
sylny,ADJ
wodźikowych,ADJ
wjazbow,NOUN
niskich,ADJ
niski,ADJ
zdźěłuja,VERB
zdźěłować,VERB
hłuboka,ADJ
hłuboki,ADJ
wostanje,VERB
wostać,VERB
ćopliša,ADJ
ćopły,ADJ
lodowy,ADJ
powjerch,NOUN
wodowe,ADJ
wodowy,ADJ
organizmy,NOUN
organizm,NOUN
prěnje,ADJ
prěni,ADJ
lodowe,ADJ
wumjenja,NOUN
wumjenje,NOUN
přežiwić,VERB
indiska,PROPN
multietniski,ADJ
miliardow,NUM
miliarda,NUM
wobydlerjemi,NOUN
wobydler,NOUN
najwjetši,ADJ
swěta,NOUN
wobydlerstwu,NOUN
wobydlerstwo,NOUN
archelogoiske,ADJ
archelogoiski,ADJ
namakanki,NOUN
snadne,ADJ
snadny,ADJ
starobabylonskich,ADJ
starobabylonski,ADJ
rozpušćeno,ADJ
rozpušćeny,ADJ
gasche,PROPN
et,X
al,X
proces,NOUN
wšak,CCONJ
hižo,ADV
padom,NOUN
pad,NOUN
babylona,PROPN
započał,VERB
započeć,VERB
zda,VERB
zdać,VERB
změnu,NOUN
změna,NOUN
hydrologiskeho,ADJ
hydrologiski,ADJ
systema,NOUN
system,NOUN
času,NOUN
knjejstwa,NOUN
knjejstwo,NOUN
samsuiluny,PROPN
samsuiluna,PROPN
zwjazane,ADJ
zwjazany,ADJ
uruk,PROPN
larsa,PROPN
eufratom,PROPN
běchu,AUX
potrjechene,ADJ
potrjecheny,ADJ
girsu,PROPN
lagaš,PROPN
rozpušćenej,ADJ
isin,PROPN
nippur,PROPN
rozpjeće,NOUN
keramikowych,ADJ
keramikowy,ADJ
formow,NOUN
jasnje,ADV
woteběra,VERB
woteběać,VERB
potrjechena,ADJ
stajnje,ADV
wuwiwa,VERB
wuwiwać,VERB
měnja,VERB
měnić,VERB
přeměnjenja,NOUN
přeměnjenje,NOUN
kultury,NOUN
kajke,DET
kajki,DET
wone,PRON
wupadaja,VERB
wupadać,VERB
kak,ADV
formuja,VERB
formować,VERB
nimi,PRON
wobchadźa,VERB
wobchadźeć,VERB
titlom,NOUN
titl,NOUN
wandel,X
gestalten,X
geschichten,X
strategien,X
um,X
identitäts,X
landschaftswandel,X
in,X
der,X
lausitz,X
wuhotować,VERB
gižkojskim,ADJ
gižkojski,ADJ
kuble,NOUN
kubl,NOUN
wikach,PROPN
wiki,NOUN
pola,ADP
drjowka,PROPN
drjowk,PROPN
fachowu,ADJ
fachowy,ADJ
konferencu,NOUN
konferenca,NOUN
kotrejž,DET
wobdźěli,VERB
referentow,NOUN
referent,NOUN
referentkow,NOUN
referentka,NOUN
wobłukow,NOUN
hospodarstwa,NOUN
hospodarstwo,NOUN
regionalneho,ADJ
regionalny,ADJ
zarjadnistwa,NOUN
rozeznawa,VERB
rozeznawać,VERB
kwalitatiwnym,ADJ
kwalitatiwny,ADJ
ablawtom,NOUN
ablawt,NOUN
wokala,NOUN
wokal,NOUN
kwantitatiwnym,ADJ
kwantitatiwny,ADJ
wokaloweje,ADJ
wokalowy,ADJ
dołhosće,NOUN
dołhosć,NOUN
pomjenowanja,NOUN
pomjenowanje,NOUN
ablawtowych,ADJ
ablawtowy,ADJ
schodźenkow,NOUN
schodźenk,NOUN
jednotnje,ADJ
jednotni,ADJ
indoeuropskeho,ADJ
indoeuropski,ADJ
ablawta,NOUN
schodźenki,NOUN
rozeznawaja,VERB
sy,AUX
mjenowanych,ADJ
njedostatkow,NOUN
njedostatk,NOUN
skorigował,VERB
skorigować,VERB
wotstroń,VERB
wotstronić,VERB
prošu,VERB
prosyć,VERB
parameter,NOUN
předłohi,NOUN
podrobnosće,NOUN
podrobnosć,NOUN
namakaš,VERB
dokumentaciji,NOUN
dokumentacija,NOUN
zelo,NOUN
słoma,NOUN
stej,AUX
bělkowinach,NOUN
bělkowina,NOUN
bohatu,ADJ
bohaty,ADJ
skótnu,ADJ
skótny,ADJ
žratwu,NOUN
žratwa,NOUN
marilyn,PROPN
monroe,PROPN
norma,PROPN
jean,PROPN
baker,PROPN
junija,NOUN
junij,NOUN
los,PROPN
angeles,PROPN
awgusta,NOUN
awgust,NOUN
us,X
amerikanska,ADJ
amerikanski,ADJ
dźiwadźelnica,NOUN
spěwarka,NOUN
fotowy,ADJ
model,NOUN
sex,NOUN
hodźi,VERB
hodźić,VERB
jenakorazny,ADJ
dokładnje,ADV
jenaki,ADJ
rjadow,NOUN
rjad,NOUN
wobkedźbować,VERB
dokelž,SCONJ
wšelake,DET
wšelaki,DET
zwukowe,ADJ
zwukowy,ADJ
přesunjenja,NOUN
přesunjenje,NOUN
stali,VERB
stać,VERB
pismowy,ADJ
wobraz,NOUN
husto,ADV
starše,ADJ
stary,ADJ
dołho,ADV
wobchowuje,VERB
wobchować,VERB
rěčanej,ADJ
rěčany,ADJ
změnili,VERB
změnić,VERB
pomhaj,VERB
pomhać,VERB
wikipediju,NOUN
wikipedija,NOUN
tym,PRON
ty,PRON
jón,PRON
rozšěriš,VERB
rozšěrić,VERB
nětko,ADV
wudospołniš,VERB
wudospołnić,VERB
čole,NOUN
čoło,NOUN
assyričanow,PROPN
assyričan,NOUN
steješe,VERB
zastupjerja,NOUN
bóha,NOUN
bóh,NOUN
aššur,PROPN
měješe,VERB
pódla,ADV
kupnicy,NOUN
kupnica,NOUN
wulku,ADJ
kraju,NOUN
wukonjachu,VERB
wukonawać,VERB
ležo,VERB
ležeć,VERB
wažnych,ADJ
wikowanskich,ADJ
wikowanski,ADJ
pućach,NOUN
puć,NOUN
wikowaše,VERB
wikować,VERB
babylonom,PROPN
anatolskej,PROPN
anatolska,PROPN
dźensnišim,ADJ
iranom,PROPN
iran,PROPN
přitoki,NOUN
přitok,NOUN
kaspiskeho,ADJ
kaspiski,ADJ
morja,NOUN
morjo,NOUN
wolga,PROPN
ural,PROPN
kura,PROPN
akkada,PROPN
akkad,PROPN
žane,DET
žadyn,DET
dołhe,ADJ
dołhi,ADJ
wobstaće,NOUN
njeměješe,VERB
mnoholičbne,ADJ
mnoholičbny,ADJ
zběžki,NOUN
zběžk,NOUN
předewšěm,ADV
přupućowacy,ADJ
hórski,ADJ
gutejčanow,PROPN
gutejčan,NOUN
skónčichu,VERB
skónčić,VERB
tutu,DET
epochu,NOUN
trinken,X
tworjenju,NOUN
tworjenje,NOUN
preterituma,NOUN
preteritum,NOUN
trank,X
getrunken,X
geografiske,ADJ
geografiski,ADJ
eksonymy,NOUN
eksonym,NOUN
mjena,NOUN
geografiskich,ADJ
objektow,NOUN
objekt,NOUN
rěkow,NOUN
rěka,NOUN
horow,NOUN
hora,NOUN
krajowych,ADJ
krajowy,ADJ
mjenow,NOUN
krajinow,NOUN
krajina,NOUN
zwonka,ADV
serbskeje,ADJ
materialowa,ADJ
materialowy,ADJ
zběrka,NOUN
bazuje,VERB
bazować,VERB
hłownje,ADV
wupiskach,NOUN
wupisk,NOUN
wučbnicow,NOUN
wučbnica,NOUN
geografiju,NOUN
geografija,NOUN
lětnika,NOUN
lětnik,NOUN
słownikow,NOUN
słownik,NOUN
druhim,ADJ
němsko,ADJ
hornjoserbskeho,ADJ
hornjoserbski,ADJ
słownika,NOUN
noweje,ADJ
leksiki,NOUN
leksika,NOUN
naprašowanjach,NOUN
naprašowanje,NOUN
nastał,VERB
kooperaciji,NOUN
kooperacija,NOUN
rěčnym,ADJ
centrumom,NOUN
witaj,PROPN
symjenišćo,NOUN
přeco,ADV
płódniku,NOUN
płódnik,NOUN
zawěra,VERB
zawěrać,VERB
zrałoće,ADJ
zrałoći,ADJ
płoda,NOUN
płod,NOUN
přetworjuje,VERB
přetworjować,VERB
čimž,PRON
štož,PRON
dźěle,NOUN
dźěl,NOUN
kćenja,NOUN
kćenje,NOUN
wobdźělować,VERB
diftongi,NOUN
diftong,NOUN
ae,X
oe,X
eu,X
au,X
najstarše,ADJ
archeologiske,ADJ
archeologiski,ADJ
wobsydlenske,ADJ
wobsydlenski,ADJ
sćěhi,NOUN
sćěh,NOUN
hodźa,VERB
połojcu,NOUN
połojca,NOUN
lěttysaca,NOUN
lěttysac,NOUN
srjedźnmy,ADJ
eufraće,PROPN
murejbeće,PROPN
murejbet,PROPN
dopokazać,VERB
hdźež,ADV
pochowane,ADJ
pochowany,ADJ
byče,ADJ
byči,ADJ
nopy,NOUN
nopa,NOUN
kulojtych,ADJ
kulojty,ADJ
domach,NOUN
dom,NOUN
namakali,VERB
wěstotu,NOUN
wěstota,NOUN
předpokładować,VERB
podobne,ADJ
podobny,ADJ
poměry,NOUN
poměr,NOUN
susodnych,ADJ
susodny,ADJ
regionach,NOUN
namakankow,NOUN
namakanka,NOUN
typiske,ADJ
typiski,ADJ
cyłkowneje,ADJ
cyłkowny,ADJ
reprezentuja,VERB
reprezenować,VERB
hodźeć,VERB
wumodelowane,ADJ
wumodelowany,ADJ
žónske,ADJ
žónski,ADJ
figuriny,NOUN
figurina,NOUN
obsidian,NOUN
mnóstwach,NOUN
mnóstwo,NOUN
pokazuje,VERB
pokazywać,VERB
kapadociskej,ADJ
kapadociski,ADJ
namakane,ADJ
namakany,ADJ
obsidianowe,ADJ
obsidianowy,ADJ
brjenki,NOUN
brjenka,NOUN
dopokaz,NOUN
zažneho,ADJ
zažny,ADJ
wikowanja,NOUN
kislik,NOUN
bjezbarbny,ADJ
njewonjaty,ADJ
wonjaty,ADJ
bjezsłodowy,ADJ
płun,NOUN
element,NOUN
zjewi,VERB
zjewić,VERB
nimale,ADV
molekularnej,ADJ
o2,SYM
o3,SYM
ocon,NOUN
burkina,PROPN
faso,PROPN
zapadnej,ADJ
zapadny,ADJ
africe,PROPN
afrika,PROPN
podleži,VERB
podležeć,VERB
francoskemu,ADJ
francoski,ADJ
kolonialnemu,ADJ
kolonialny,ADJ
knjejstwu,NOUN
spočatka,NOUN
spočatk,NOUN
njewotwisnosće,NOUN
njewotwisnosć,NOUN
